"ContentID","UserID","ContentType","Category","ReactionType","Datetime","Sentiment","Score"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","disgust","2020-11-07 09:43:50","negative",0
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","dislike","2021-06-17 12:22:51","negative",10
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","scared","2021-04-18 05:13:58","negative",15
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","disgust","2021-01-06 19:13:01","negative",0
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","interested","2020-08-23 12:25:58","positive",30
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","peeking","2020-12-07 06:27:54","neutral",35
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","cherish","2021-04-11 17:35:49","positive",70
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","hate","2021-01-27 08:32:09","negative",5
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","peeking","2021-04-01 22:54:23","neutral",35
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","love","2020-08-04 05:05:02","positive",65
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","indifferent","2020-11-07 08:36:27","neutral",20
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","scared","2020-11-02 06:28:53","negative",15
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","interested","2020-11-01 01:16:21","positive",30
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","hate","2020-10-07 18:39:08","negative",5
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","scared","2020-09-03 18:51:38","negative",15
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","super love","2021-02-24 05:09:23","positive",75
"97522e57-d9ab-4bd6-97bf-c24d952602d2","8d3cd87d-8a31-4935-9a4f-b319bfe05f31","photo","studying","peeking","2020-09-23 06:24:11","neutral",35
